"","Species","shape","scale","location","adjust"
"1","ABBA",1.73375933346905,4.56912883746733,0,1.09621461410291
"2","ACRU",1.3057913865494,6.90350457677906,0,0.756825743148411
"3","ACSA3",2.68492253382371,6.58204132931574,0,1.27164526105307
"4","ACSP2",1.68285013054596,4.23001324750142,0,0.196380906333515
"5","BEAL2",2.54655828334144,4.16119561227144,0,0.0810795980070742
"6","BEPA",0.984698680454958,3.69253621565348,0,0.0795683543921746
"7","FRNI",1.44054511737969,3.80641446777134,0,0.255074189561126
"8","LALA",0.738673264920396,1.46048494202568,0,0.113376299228444
"9","PIBA2",0.56939481923318,0.697881809521959,0,0.0909427222025577
"10","PIGL",1.24055659130727,6.13001194991233,0,0.166709517047441
"11","PIMA",0.972923904580309,2.19119290475892,0,0.169074146481526
"12","PIRE",1.01471067298293,2.51172345055031,0,0.0730786099954522
"13","PIST",1.41067206108775,6.71444876734596,0,0.392101570602213
"14","POBA2",0.535217371814802,3526.33966191816,0,2.76967267564407
"15","POGR4",1.08365936017574,9.76253360361223,0,0.153346606684689
"16","POTR5",0.937811008172015,4.46247262254925,0,0.216843256675743
"17","PRVI",1.22918570145735,5.19168585027476,0,0.154915448113357
"18","QURU",1.45752722482429,5.66582552394261,0,0.160449328111793
"19","THOC2",1.82182512765833,3.52087129795918,0,0.14043944442902
